time (seconds),weight (kg)
0.0,0.0
0.0,0.0
0.000524044036865,-0.083
0.000800132751465,-0.083
0.0010621547699,-0.083
0.236038208008,-0.055
0.236495018005,-0.083
0.236879110336,-0.083
0.237190008163,-0.083
0.438047170639,-0.111
0.438316106796,-0.083
0.438580989838,-0.083
0.438842058182,-0.083
0.647410154343,-0.055
0.647802114487,-0.083
0.648188114166,-0.083
1.02914309502,-0.055
1.02941918373,-0.083
1.02966403961,-0.111
1.02990698814,-0.083
1.030148983,-0.083
1.03039216995,-0.111
1.03063511848,-0.111
1.25694918633,-0.083
1.25721716881,-0.111
1.25747799873,-0.083
1.61306500435,-0.083
1.61331605911,-0.055
1.61356019974,-0.111
1.61380314827,-0.111
1.61404514313,-0.083
1.61428713799,-0.111
1.83262610435,-0.111
1.83289599419,-0.111
1.83316802979,-0.111
1.8334300518,-0.083
2.03825712204,-0.083
2.03852701187,0.333
2.03878903389,0.249
2.03905010223,0.249
2.27761697769,0.222
2.27792811394,0.249
2.27820301056,0.249
2.27847599983,0.249
2.47612118721,0.277
2.4763879776,0.249
2.4766831398,0.249
2.48083019257,0.249
2.70370101929,0.277
2.70406699181,0.277
2.70442700386,0.277
2.93893098831,0.249
2.93919920921,0.277
2.93946003914,0.277
2.93972015381,0.277
2.93997907639,0.305
3.15264821053,0.277
3.15291714668,0.305
3.15318012238,0.277
3.36454510689,0.277
3.36481308937,0.305
3.36507415771,0.305
3.36533212662,0.277
3.60004115105,0.277
3.60031199455,0.277
3.60057401657,0.277
3.60083413124,0.305
3.80772304535,0.333
3.80799198151,0.305
3.80825400352,0.333
3.80851411819,0.305
4.01688218117,0.277
4.01715016365,0.333
4.0174100399,0.305
4.0176692009,0.305
4.23394012451,0.305
4.23421001434,0.305
4.23447299004,0.305
4.23473310471,0.305
4.43537402153,0.305
4.43564319611,0.277
4.43590211868,0.305
4.63702011108,0.305
4.63729000092,0.36
4.63755297661,0.305
4.63781404495,0.277
4.83828401566,0.305
4.83855414391,0.277
4.8388171196,0.305
5.04163312912,0.305
5.04191303253,0.36
5.04217720032,0.305
5.04244017601,0.277
5.25050997734,0.333
5.25084614754,0.333
5.25117516518,0.36
5.25388216972,0.416
5.45779514313,0.416
5.45808005333,0.333
5.45834898949,0.36
5.66867208481,0.443
5.66901898384,0.637
5.66934919357,0.665
5.66967701912,0.748
5.88639807701,0.859
5.8867521286,0.998
5.88707709312,1.053
