time (seconds),weight (kg)
0.0,0.0
0.0,0.0
0.000571966171265,-0.028
0.000846147537231,0.028
0.00112295150757,0.0
0.00139117240906,0.028
0.236392974854,0.028
0.236669063568,0.0
0.237010002136,0.0
0.237287998199,0.0
0.459125041962,0.0
0.45941400528,0.0
0.45968914032,0.0
0.459959983826,0.0
0.674699068069,0.028
0.674976110458,0.028
0.67524600029,0.0
0.675513982773,0.028
0.911627054214,0.028
0.9119181633,0.0
0.912192106247,0.028
0.912464141846,0.0
1.14297604561,-0.028
1.14373612404,0.0
1.14441299438,0.028
1.14502215385,0.055
1.37545204163,0.028
1.37573695183,0.0
1.37600898743,-0.028
1.37627911568,0.0
1.59332799911,0.028
1.59361696243,0.028
1.5938911438,0.0
1.59415912628,0.0
1.81553697586,0.0
1.81587195396,0.028
1.81618905067,0.0
1.81650304794,0.028
2.04359197617,0.0
2.04388213158,0.028
2.04420304298,0.0
2.04465508461,0.0
2.2755279541,0.028
2.27581310272,0.0
2.27608513832,0.0
2.2763531208,0.0
2.4855890274,-0.028
2.4858751297,0.0
2.4861471653,0.0
2.48641514778,0.0
2.69823598862,0.0
2.69851493835,0.0
2.69878697395,0.0
2.6990571022,0.0
2.91209197044,0.028
2.91237401962,-0.028
2.91265106201,0.0
3.1384510994,-0.028
3.13895106316,0.0
3.13942694664,-0.028
3.13973212242,0.028
3.35400700569,0.028
3.35436296463,0.028
3.35465502739,0.028
3.35492801666,0.0
3.5792131424,-0.028
3.57949113846,0.0
3.57976102829,0.0
3.58009195328,-0.028
3.80383515358,0.0
3.80422997475,0.028
3.80452609062,0.0
3.80480313301,-0.028
4.02895712852,-0.028
4.02924513817,0.388
4.02951812744,0.028
4.02978801727,0.028
4.26272702217,0.028
4.26312994957,0.055
4.26340913773,0.028
4.26368904114,0.0
4.48792004585,0.028
4.48821401596,0.055
4.48848700523,0.055
4.48875808716,0.055
4.69324111938,0.055
4.69351696968,0.028
4.69378709793,0.055
4.69405508041,0.055
4.90699315071,0.055
4.90736794472,0.055
4.90772509575,0.0
5.10689306259,0.028
5.10716795921,0.028
5.10743713379,0.0
5.10770511627,0.055
5.31030511856,0.028
5.31058001518,-0.028
5.31084895134,0.028
5.31111598015,0.028
5.51308512688,0.083
5.51335906982,0.028
5.51362705231,0.0
5.71746516228,0.028
5.7177400589,0.028
5.71800708771,0.0
5.71827411652,0.0
5.92456102371,0.028
5.9249150753,0.028
