time (seconds),weight (kg)
0.0,0.0
0.0,0.0
0.000746965408325,0.499
0.00150203704834,0.499
0.00195002555847,0.499
0.00238800048828,0.499
0.00294399261475,0.499
0.225095033646,0.527
0.22536611557,0.527
0.225629091263,0.499
0.225890159607,0.527
0.226149082184,0.499
0.541878938675,0.554
0.54212808609,0.527
0.542371988297,0.499
0.542614936829,0.527
0.542858123779,0.527
0.543099164963,0.554
0.543342113495,0.471
0.769351005554,0.499
0.769701957703,0.499
0.770029067993,0.527
0.77034497261,0.527
0.770631074905,0.527
1.05587911606,0.499
1.05624604225,0.499
1.05660605431,0.499
1.05696296692,0.527
1.51371908188,0.499
1.51419711113,0.527
1.51467609406,0.499
1.51513600349,0.499
1.51559996605,0.527
1.51606297493,0.499
1.51653599739,0.527
1.5169801712,0.499
1.51743817329,0.499
1.81657099724,0.499
1.81694197655,0.527
1.81731200218,0.527
1.81758093834,0.499
1.81784296036,0.499
1.8181040287,0.527
1.81836509705,0.554
2.16594099998,0.527
2.1662311554,0.527
2.16650414467,0.499
2.16677212715,0.527
2.16704010963,0.499
2.16730713844,0.499
2.16757202148,0.499
2.16783499718,0.471
2.43867611885,0.471
2.43969511986,0.527
2.80901813507,0.499
2.80929613113,0.527
2.80955815315,0.554
2.8098180294,0.499
2.81007695198,0.527
2.8103351593,0.527
2.81059408188,0.471
2.81085205078,0.527
2.81111097336,0.499
3.05914115906,0.499
3.05952215195,0.527
3.05982494354,0.499
3.0601401329,0.471
3.06045794487,0.471
3.30093216896,0.499
3.30120110512,0.499
3.30146312714,0.499
3.30172300339,0.499
3.30198407173,0.527
3.30224299431,0.499
3.56281614304,0.499
3.56308317184,0.499
3.56334400177,0.527
3.79981708527,0.499
3.80033707619,0.499
3.80060100555,0.499
3.8008620739,0.499
4.04009008408,0.527
4.04041695595,0.499
4.04068207741,0.471
4.04094314575,0.499
4.04120397568,0.527
4.04146409035,0.499
4.33054304123,0.499
4.33109998703,0.527
4.33166098595,0.499
4.33221411705,0.499
4.33276414871,0.499
4.33328199387,0.499
4.56675815582,0.499
4.567029953,0.527
4.56729316711,0.499
4.56755495071,0.499
4.56781601906,0.499
4.56807613373,0.499
4.80177116394,0.471
4.8020401001,0.499
4.80230116844,0.471
5.03488993645,0.499
5.03570413589,0.527
5.03617715836,0.527
5.27396416664,0.499
5.2742331028,0.499
5.27449417114,0.499
5.27475404739,0.527
5.27501296997,0.499
