time (seconds),weight (kg)
0.0,0.0
0.0,0.0
0.00054407119751,1.746
0.000816106796265,1.691
0.00113892555237,1.718
0.00140690803528,1.746
0.246429920197,1.746
0.246721982956,1.746
0.247004985809,1.691
0.247283935547,1.718
0.480448007584,1.718
0.480715990067,1.718
0.480977058411,1.746
0.481235980988,1.746
0.866478919983,1.718
0.866754055023,1.718
0.866998910904,1.718
0.867243051529,1.746
0.867486000061,1.691
0.867729902267,1.718
1.10721206665,1.746
1.10748505592,1.718
1.10774898529,1.691
1.10801100731,1.718
1.33350610733,1.691
1.33377504349,1.718
1.33403706551,1.718
1.33429813385,1.718
1.72593998909,1.691
1.72619509697,1.718
1.72644090652,1.718
1.72668504715,1.718
1.72692894936,1.691
1.72721195221,1.718
1.9833381176,1.718
1.98361206055,1.718
1.98387503624,1.746
1.98413705826,1.718
1.9872200489,1.718
2.23830008507,1.718
2.23858499527,1.718
2.2388651371,1.718
2.23912811279,1.746
2.47254610062,1.691
2.47294998169,1.718
2.47335910797,1.746
2.47371506691,1.718
2.71237897873,1.718
2.71265006065,1.718
2.71291804314,1.718
2.71318006516,1.718
2.96803593636,1.718
2.96830511093,1.912
2.96856808662,6.596
2.96882796288,12.998
3.20496892929,15.547
3.20538711548,17.293
3.20569300652,19.427
3.59463596344,21.672
3.59499502182,23.169
3.59534192085,24.637
3.59568691254,25.774
3.59603095055,26.91
3.59637308121,27.658
3.59673309326,28.545
3.84357595444,29.21
3.84390211105,29.903
3.84416604042,30.374
3.84443497658,30.79
4.08864712715,31.178
4.08900403976,31.483
4.08935213089,31.815
4.32487106323,32.037
4.32513904572,32.259
4.32540011406,32.342
4.32566094398,32.425
4.54913401604,32.591
4.54940509796,32.841
4.549669981,33.146
4.54993200302,33.146
4.78392791748,33.146
4.78419494629,33.312
4.78445792198,33.45
5.02522492409,33.478
5.02561497688,33.506
5.02594399452,33.644
5.02627396584,33.921
5.26016592979,34.032
5.26043605804,34.171
5.26069808006,34.199
5.26095795631,34.171
5.49907302856,34.309
5.49934196472,34.337
5.49960398674,34.282
5.49986505508,34.226
5.73676896095,34.309
5.73704004288,34.503
5.7373020649,34.697
5.73907494545,34.891
5.98005390167,34.891
5.98032212257,34.919
5.9805829525,35.058
6.22335505486,35.252
6.22362494469,35.224
6.22388696671,35.279
6.22414803505,35.418
6.51440000534,35.501
6.51476597786,35.446
6.51512598991,35.39
6.51548409462,35.529
