time (seconds),weight (kg)
0.0,0.0
0.0,0.0
0.135806083679,-1.136
0.136208057404,-1.164
0.136690139771,-1.136
1.07290315628,0.028
1.27191710472,0.0
1.27218914032,0.0
1.27245497704,0.028
1.27271795273,0.028
1.2743730545,0.028
1.47159099579,0.028
1.47200417519,0.0
1.47243905067,0.028
1.47271203995,-0.028
1.68351912498,0.055
1.68384099007,0.028
1.68417215347,0.028
1.68547296524,0.0
1.68579506874,0.028
1.90131807327,0.028
1.90179204941,0.055
1.90223407745,0.028
1.90257310867,0.028
1.90284395218,0.028
2.10880303383,0.0
2.10919213295,-0.028
2.10961198807,0.028
2.11005210876,0.0
2.68969511986,0.0
2.69034910202,0.028
2.69079303741,0.028
2.69110608101,0.0
2.69150900841,0.0
2.69185805321,0.028
2.69213008881,0.028
2.69240498543,0.028
2.6926779747,0.028
2.69293498993,0.028
2.9983279705,0.028
2.99874711037,0.028
2.99918007851,0.055
2.99946904182,0.028
2.99987697601,0.028
3.00028800964,0.0
3.00083398819,0.028
3.24077415466,0.028
3.24106907845,0.0
3.24134111404,0.055
3.24160909653,0.028
3.24187517166,0.0
3.2421901226,0.0
3.4965801239,0.028
3.49686598778,0.0
3.74258303642,0.0
3.74313807487,0.028
3.7434091568,0.028
3.74367403984,0.0
3.74395513535,0.028
4.00379705429,0.028
4.00408816338,0.028
4.00436306,0.0
4.00463294983,0.028
4.00489711761,0.028
4.00516200066,0.055
4.2288069725,0.028
4.22909402847,0.0
4.22936415672,0.028
4.22963213921,0.028
4.22989606857,0.0
4.44329595566,0.0
4.44358110428,0.028
4.44384908676,0.028
4.4441139698,0.028
4.44437909126,0.0
4.64205098152,0.0
4.64234113693,0.0
4.64262199402,0.0
4.64289116859,0.0
4.85088610649,0.028
5.08336114883,0.0
5.08367204666,0.028
5.08394217491,0.0
5.0842089653,0.028
5.08447313309,0.028
5.08473706245,0.0
5.29548215866,0.0
5.29576611519,0.0
5.29603600502,0.028
5.29630303383,0.055
5.5616979599,0.055
5.56199598312,0.028
5.56233596802,0.028
5.56277894974,0.028
5.5632121563,0.055
5.56368613243,0.028
5.56415915489,0.055
5.78384613991,-0.028
5.78432202339,0.055
5.78471803665,0.028
5.78509306908,0.055
5.78545808792,0.055
6.00623202324,0.055
6.00652003288,0.0
6.23375797272,0.028
6.23429298401,0.028
6.23456215858,0.0
6.23482513428,0.028
6.45596599579,0.055
6.45625305176,0.028
